Nom_Intersection,Longitude,Latitude,total
Lanaudière / Saint-Joseph,-73.583461,45.531004,12725
La Roche / Saint-Joseph,-73.587788,45.528963,14436
Laurier / Saint-Hubert,-73.578016,45.529267,10766
Brébeuf / Mont-Royal,-73.582422,45.532114,13082
rue Chambord / boulevard Saint-Joseph,-73.587125,45.465371,13948
Cabot / Saint-Rémi,-73.59009,45.529956,13082
Boucher / Saint-Hubert,-73.586827,45.530062,4787
Laurier / Mentana,-73.601404,45.470983,6638
Décarie / Saint-Jacques,-73.597276,45.473281,15555
rue Pullman / rueSaint-Jacques / rue Saint-Rémi,-73.602536,45.468939,4519
rue Pullman / Sortie Route 136,-73.596501,45.474173,7082
rue Saint-Jacques / CUSM #3,-73.53828,45.46716,8246
rue Berlioz / place du Commerce,-73.680565,45.515837,7661
Côte-Vertu / O'Brien,-73.555792,45.511608,87832
Saint-Denis / Viger,-73.55827,45.505707,32603
Place d'Armes / Saint-Antoine/Saint-Urbain,-73.559791,45.506413,41264
Saint-Urbain / Viger,-73.555792,45.511608,38032
Saint-Denis / Viger,-73.55827,45.505707,32977
Place d'Armes / Saint-Antoine/Saint-Urbain,-73.559791,45.506413,44651
Saint-Urbain / Viger,-73.555792,45.511608,40228
Saint-Denis / Viger,-73.55827,45.505707,33579
Place d'Armes / Saint-Antoine/Saint-Urbain,-73.559791,45.506413,30585
Saint-Urbain / Viger,-73.551897,45.489194,37826
Mill / Oak,-73.554423,45.510987,3967
Bonsecours / Saint-Antoine/Saint-Denis,-73.602316,45.470391,116745
rue Saint-Jacques / bretelle entrée A15 Nord,-73.679986,45.51627,10391
Côte-Vertu / Sainte-Croix,-73.682776,45.514248,22619
Côte-Vertu / Décarie,-73.67575,45.519596,25489
Barré / Côte-Vertu,-73.677284,45.518397,18572
Côte-Vertu / Dutrisac,-73.669799,45.527394,18678
Côte-Vertu / Grimard,-73.670977,45.525593,19935
Côte-Vertu / Jules-Poitras,-73.66881,45.528778,22111
